Flight Number,PassengerID,Airline,Origin,Destination,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay (min),Arrival Delay (min),Delay Reason,Passenger Satisfaction,Survey Score,Comments,Number of Passengers,Date,Delay Duration (minutes),Flight Status
FN2224,PAX1000,JetStream,LAX,PHX,17:54,20:07,22:54,00:57,133,123,Weather,Low,1,,269,2024-04-12,123,Delayed
FN1471,PAX1001,CloudAir,ORD,BOS,18:05,18:05,00:05,00:03,0,-2,None,High,5,Uncomfortable seats.,101,2024-12-14,0,On Time
FN1389,PAX1002,CloudAir,ATL,SEA,03:29,05:55,06:29,08:55,146,146,Technical,Low,3,Friendly staff.,187,2024-09-27,146,Delayed
FN2170,PAX1003,JetStream,LAX,SEA,02:03,03:32,04:03,05:32,89,89,Crew,Low,2,,172,2024-04-16,89,Delayed
FN6749,PAX1004,FlyHigh,JFK,DEN,15:10,15:10,21:10,21:59,0,49,None,Low,4,Great service!,154,2024-03-12,49,Delayed
FN6716,PAX1005,SkyJet,ORD,BOS,18:37,18:37,00:37,00:37,0,0,None,High,4,Average experience.,292,2024-07-07,0,On Time
FN1783,PAX1006,JetStream,ORD,SEA,09:35,11:49,13:35,15:49,134,134,Technical,Low,5,,225,2024-01-21,134,Delayed
FN9536,PAX1007,AirNova,JFK,PHX,23:03,23:59,01:03,01:59,56,56,Security,Low,4,,139,2024-04-12,56,Delayed
FN2257,PAX1008,JetStream,DFW,MIA,07:16,09:03,11:16,13:03,107,107,Weather,Low,4,,260,2024-05-01,107,Delayed
FN4207,PAX1009,CloudAir,ATL,SEA,18:24,18:24,23:24,23:26,0,2,None,Medium,4,,170,2024-08-02,2,Delayed
FN4748,PAX1010,SkyJet,LAX,DEN,19:01,20:38,01:01,02:38,97,97,Technical,Low,3,Delayed but smooth flight.,155,2024-11-26,97,Delayed
FN8170,PAX1011,FlyHigh,JFK,MIA,12:57,12:57,16:57,16:57,0,0,None,High,2,,259,2024-03-28,0,On Time
FN2344,PAX1012,JetStream,LAX,DEN,18:42,20:43,21:42,00:21,121,159,Security,Low,2,Uncomfortable seats.,295,2024-04-09,159,Delayed
FN6212,PAX1013,AirNova,LAX,SEA,12:08,14:56,14:08,16:56,168,168,Technical,Low,2,,180,2024-12-25,168,Delayed
FN7643,PAX1014,FlyHigh,DFW,DEN,16:13,16:13,20:13,20:55,0,42,None,Low,3,,163,2024-05-31,42,Delayed
FN4989,PAX1015,FlyHigh,DFW,PHX,19:03,21:05,23:03,01:05,122,122,Security,Low,2,Uncomfortable seats.,89,2024-05-10,122,Delayed
FN1148,PAX1016,CloudAir,ORD,MIA,20:14,20:14,22:14,21:56,0,-18,None,High,3,,257,2024-05-29,0,On Time
FN4707,PAX1017,AirNova,DFW,MIA,16:36,18:38,18:36,20:38,122,122,Weather,Low,4,,222,2024-11-04,122,Delayed
FN6979,PAX1018,CloudAir,ORD,PHX,07:30,09:27,12:30,14:27,117,117,Crew,Low,1,,221,2024-09-14,117,Delayed
